"","file","Total","no_Xs","TotalCleanReads","WTcount","Singleton","Doubleton","PercentWT","PercentSingleton","PercentDoubleton"
"97","Run7_14",54,53,375,58,20,13,15.4666666666667,5.33333333333333,3.46666666666667
"98","Run7_15",38,34,423,0,13,4,0,3.07328605200946,0.945626477541371
"99","Run7_16",28,26,170,0,14,5,0,8.23529411764706,2.94117647058824
"100","Run7_17",41,40,197,0,24,5,0,12.1827411167513,2.53807106598985
"101","Run7_18",84,81,1423,172,40,11,12.087139845397,2.8109627547435,0.773014757554462
"102","Run7_19",40,39,1301,6,10,9,0.461183704842429,0.768639508070715,0.691775557263643
"103","Run7_20",148,139,1514,16,59,22,1.05680317040951,3.89696169088507,1.45310435931308
"104","Run7_21",17,17,46,15,8,4,32.6086956521739,17.3913043478261,8.69565217391304
"105","Run7_22",43,42,211,0,18,4,0,8.53080568720379,1.8957345971564
"106","Run7_23",35,34,276,54,18,6,19.5652173913043,6.52173913043478,2.17391304347826
"107","Run7_24",81,80,457,33,50,10,7.22100656455142,10.9409190371991,2.18818380743982
"108","Run7_9_",45,44,340,0,18,7,0,5.29411764705882,2.05882352941176
